incident_type_primary,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type
TRAFFICKING-OTHER CDSA,900 Block PANDORA AVE,VICTORIA,BC,48.42747325,-123.358472,7,Friday,Drugs
COLLISION-NON-FATAL INJURY,CEDAR HILL RD & GOSWORTH RD,VICTORIA,BC,48.44691454,-123.3446969,8,Friday,Traffic
COLLISION-NON-FATAL INJURY,1400 Block BROOKE ST,VICTORIA,BC,48.41464629,-123.342866,8,Friday,Traffic
DRIVING COMPLAINTS,BELLEVILLE ST & GOVERNMENT ST,VICTORIA,BC,48.42061933,-123.3689731,8,Friday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,2800 Block CEDAR HILL RD,VICTORIA,BC,48.44156984,-123.3444572,9,Friday,Other
TRAFFIC-OTHER MOVING PROV,100 Block KINGSTON ST,VICTORIA,BC,48.42188967,-123.3798304,9,Friday,Traffic
THEFT-OTHER UNDER $5000,100 Block GORGE RD E,VICTORIA,BC,48.44332349,-123.3848514,9,Friday,Theft
THEFT BICYCLE UNDER $5000,1500 Block PANDORA AVE,VICTORIA,BC,48.42654261,-123.3378799,9,Friday,Theft
POSSESSION-HEROIN,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,9,Friday,Drugs
THEFT-SHOPLIFTING UNDER $5000,700 Block YATES ST,VICTORIA,BC,48.42612959,-123.3635393,10,Friday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,2900 Block DOUGLAS ST,VICTORIA,BC,48.44303636,-123.3696152,10,Friday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,1000 Block YATES ST,VICTORIA,BC,48.42521541,-123.3550901,0,Saturday,Other
THEFT FROM MV UNDER $5000,500 Block WEST BAY TER,VICTORIA,BC,48.42924015,-123.3977742,0,Saturday,Theft from Vehicle
FALSE ALARMS,2900 Block DOUGLAS ST,VICTORIA,BC,48.44303636,-123.3696152,1,Tuesday,Alarm
BYLAW-NOISE,900 Block HILLSIDE AVE,VICTORIA,BC,48.43915987,-123.3613282,3,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,400 Block CATHERINE ST,VICTORIA,BC,48.43064152,-123.3847431,3,Saturday,Other
BYLAW-NOISE,800 Block VIEW ST,VICTORIA,BC,48.42497275,-123.3609054,4,Saturday,Other
THEFT FROM MV UNDER $5000,900 Block COOK ST,VICTORIA,BC,48.42169197,-123.3544776,9,Saturday,Theft from Vehicle
THEFT FROM MV UNDER $5000,700 Block COURTNEY ST,VICTORIA,BC,48.42295478,-123.3653353,10,Saturday,Theft from Vehicle
CAUSE A DISTURBANCE,800 Block CRAIGFLOWER RD,VICTORIA,BC,48.44008081,-123.3948831,12,Saturday,Disorder
THEFT FROM MV UNDER $5000,1500 Block JUBILEE AVE,VICTORIA,BC,48.42677042,-123.3315253,13,Saturday,Theft from Vehicle
THEFT FROM MV UNDER $5000,1700 Block OAK BAY AVE,VICTORIA,BC,48.42644164,-123.3310041,14,Saturday,Theft from Vehicle
THEFT-SHOPLIFTING UNDER $5000,1200 Block DOUGLAS ST,VICTORIA,BC,48.42558112,-123.3650541,14,Saturday,Theft
ROBBERY-OTHER,900 Block PANDORA AVE,VICTORIA,BC,48.42736519,-123.358478,16,Saturday,Robbery
CAUSE A DISTURBANCE,2700 Block BRIDGE ST,VICTORIA,BC,48.43738678,-123.3734384,16,Saturday,Disorder
SUSPICIOUS PERS/VEH/OCCURRENCE,500 Block DAVID ST,VICTORIA,BC,48.43810647,-123.3719139,17,Saturday,Other
THEFT-SHOPLIFTING UNDER $5000,700 Block PANDORA AVE,VICTORIA,BC,48.4277711,-123.3620985,17,Saturday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,3100 Block DOUGLAS ST,VICTORIA,BC,48.4462745,-123.3714598,10,Tuesday,Other
THEFT BICYCLE UNDER $5000,500 Block JOHNSON ST,VICTORIA,BC,48.42780909,-123.3697875,17,Saturday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,CHAMBERS ST & GLADSTONE AVE,VICTORIA,BC,48.43073166,-123.3499237,17,Saturday,Other
THEFT-OTHER UNDER $5000,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,18,Saturday,Theft
THEFT-SHOPLIFTING UNDER $5000,1100 Block ESQUIMALT RD,VICTORIA,BC,48.43008053,-123.4110865,18,Saturday,Theft
CYCLIST,2500 Block ROCK BOTTOM CREEK,VICTORIA,BC,48.4284207,-123.3656444,3,Thursday,Vehicle Stop
SUSPICIOUS PERS/VEH/OCCURRENCE,700 Block BURDETT AVE,VICTORIA,BC,48.42210823,-123.3653825,19,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,JUBILEE AVE & OAK BAY AVE,VICTORIA,BC,48.42643721,-123.3315441,19,Saturday,Other
DRIVING COMPLAINTS,100 Block GORGE RD E,VICTORIA,BC,48.44332349,-123.3848514,20,Saturday,Traffic
THEFT BICYCLE UNDER $5000,1500 Block JUBILEE AVE,VICTORIA,BC,48.42677042,-123.3315253,21,Saturday,Theft
LIQUOR-INTOX IN PUBLIC PLACE,BAY ST & SHELBOURNE ST,VICTORIA,BC,48.43393468,-123.33382,21,Saturday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,600 Block MONTREAL ST,VICTORIA,BC,48.42277857,-123.3774876,22,Saturday,Other
TRAFFIC-INSURANCE VIOLATION,FERNWOOD RD & BAY ST,VICTORIA,BC,48.43450391,-123.344989,22,Saturday,Traffic
THEFT BICYCLE UNDER $5000,500 Block JOHNSON ST,VICTORIA,BC,48.42780909,-123.3697875,22,Saturday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,600 Block JOHNSON ST,VICTORIA,BC,48.42731233,-123.3657672,23,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,700 Block FAIRVIEW RD,VICTORIA,BC,48.43654758,-123.3989915,12,Friday,Other
COLLISION-DAMAGE UNDER $1000,1400 Block STADACONA AVE,VICTORIA,BC,48.42597202,-123.3399359,12,Friday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,MENZIES ST & SIMCOE ST,VICTORIA,BC,48.41534188,-123.3739879,13,Friday,Liquor
BREAK & ENTER-OTHER,1500 Block PANDORA AVE,VICTORIA,BC,48.42654261,-123.3378799,13,Friday,Breaking & Entering
CYCLIST,2500 Block ROCK BAY AVE,VICTORIA,BC,48.4360336,-123.3690601,3,Thursday,Vehicle Stop
TRAFFICKING-HEROIN,900 Block PANDORA AVE,VICTORIA,BC,48.42747325,-123.358472,14,Friday,Drugs
THEFT-OTHER UNDER $5000,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,14,Friday,Theft
THEFT-SHOPLIFTING UNDER $5000,900 Block YATES ST,VICTORIA,BC,48.4256248,-123.3588451,15,Friday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,PANDORA AVE & GOVERNMENT ST,VICTORIA,BC,48.4285166,-123.3670495,20,Tuesday,Other
WEAPONS-POSSESSION,800 Block VIEW ST,VICTORIA,BC,48.42507731,-123.361844,15,Friday,Weapons Offense
LIQUOR-INTOX IN PUBLIC PLACE,1100 Block BLANSHARD ST,VICTORIA,BC,48.42445133,-123.3624186,15,Friday,Liquor
TRAFFIC-INSURANCE VIOLATION,400 Block SWIFT ST,VICTORIA,BC,48.4294816,-123.3710438,15,Friday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,2800 Block BELMONT AVE,VICTORIA,BC,48.44053058,-123.3389818,15,Friday,Other
TRAFFIC-INSURANCE VIOLATION,700 Block FISGARD ST,VICTORIA,BC,48.42941545,-123.3640308,16,Friday,Traffic
TRAFFIC-INSURANCE VIOLATION,100 Block CLARENCE ST,VICTORIA,BC,48.41326614,-123.3735636,16,Friday,Traffic
TRAFFIC-OTHER MOVING PROV,ISLAND HWY & KNOLLWOOD RD,VICTORIA,BC,48.45994565,-123.449686,16,Friday,Traffic
DRIVING COMPLAINTS,RICHMOND RD & BAY ST,VICTORIA,BC,48.4336391,-123.3292484,16,Friday,Traffic
THEFT BICYCLE UNDER $5000,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,16,Friday,Theft
DRIVING COMPLAINTS,FINLAYSON ST & JACKSON ST,VICTORIA,BC,48.4466449,-123.3580757,17,Friday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,FORT ST & FOUL BAY RD,VICTORIA,BC,48.43216874,-123.3224492,17,Friday,Liquor
LIQUOR-INTOX IN PUBLIC PLACE,900 Block PANDORA AVE,VICTORIA,BC,48.42736519,-123.358478,17,Friday,Liquor
THEFT-SHOPLIFTING UNDER $5000,1600 Block HILLSIDE AVE,VICTORIA,BC,48.44525461,-123.3342615,17,Friday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,1600 Block HILLSIDE AVE,VICTORIA,BC,48.44525461,-123.3342615,18,Friday,Other
THEFT-SHOPLIFTING UNDER $5000,3100 Block SHELBOURNE ST,VICTORIA,BC,48.44759025,-123.3331848,18,Friday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,3000 Block DOUGLAS ST,VICTORIA,BC,48.44361375,-123.369988,19,Friday,Other
ROBBERY-OTHER,500 Block PANDORA AVE,VICTORIA,BC,48.42848914,-123.3692099,19,Friday,Robbery
SUSPICIOUS PERS/VEH/OCCURRENCE,300 Block MAITLAND ST,VICTORIA,BC,48.42973317,-123.3903256,20,Friday,Other
CAUSE A DISTURBANCE,500 Block DALTON ST,VICTORIA,BC,48.43134381,-123.3909114,20,Friday,Disorder
BREAK & ENTER-OTHER,1300 Block GRANT ST,VICTORIA,BC,48.42864577,-123.3447781,20,Friday,Breaking & Entering
COLLISION-DAMAGE OVER $1000,CAMOSUN ST & PANDORA AVE,VICTORIA,BC,48.4269167,-123.3470341,21,Friday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,DOUGLAS ST & FORT ST,VICTORIA,BC,48.42465122,-123.3653757,21,Friday,Liquor
IMPAIRED OP MOTOR VEH (ALCOH),TILLICUM RD & GOSPER CRES,VICTORIA,BC,48.44392401,-123.4015551,22,Friday,Traffic
CAUSE A DISTURBANCE,BAY ST & RICHMOND RD,VICTORIA,BC,48.4336391,-123.3292484,22,Friday,Disorder
BYLAW-NOISE,QUADRA ST & FISGARD ST,VICTORIA,BC,48.42900866,-123.358926,22,Friday,Other
IMPAIRED OP MOTOR VEH (ALCOH),1300 Block GLADSTONE AVE,VICTORIA,BC,48.4304649,-123.344676,22,Friday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,900 Block JOHNSON ST,VICTORIA,BC,48.42641742,-123.3577214,22,Friday,Other
MISCHIEF $5000 OR UNDER,DALLAS RD & MONTREAL ST,VICTORIA,BC,48.41589691,-123.3847488,23,Friday,Property Crime
MISCHIEF $5000 OR UNDER,1500 Block FAIRFIELD RD,VICTORIA,BC,48.41209077,-123.3405815,23,Friday,Property Crime
BYLAW-NOISE,2500 Block SHAKESPEARE ST,VICTORIA,BC,48.43440999,-123.3362224,23,Friday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,6,Thursday,Other
COLLISION-NON-FATAL INJURY,CANTEEN RD & ESQUIMALT RD,VICTORIA,BC,48.42931617,-123.4244866,7,Thursday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,CHESTER AVE & OSCAR ST,VICTORIA,BC,48.41563113,-123.3537374,7,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,BAY ST & GOVERNMENT ST,VICTORIA,BC,48.43580093,-123.3673186,13,Thursday,Other
ASSAULT-W/WEAPON OR CBH,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,2,Sunday,Assault with Deadly Weapon
BREAK & ENTER-BUSINESS,400 Block JOHN ST,VICTORIA,BC,48.43602795,-123.3739187,8,Saturday,Breaking & Entering
BREAK & ENTER-RESIDENCE,500 Block TRUTCH ST,VICTORIA,BC,48.41763606,-123.3534903,11,Saturday,Breaking & Entering
THEFT BICYCLE UNDER $5000,600 Block TRUTCH ST,VICTORIA,BC,48.41875506,-123.3531579,11,Saturday,Theft
THEFT FROM MV UNDER $5000,COOK ST & MEARES ST,VICTORIA,BC,48.42291002,-123.3541397,10,Saturday,Theft from Vehicle
THEFT BICYCLE UNDER $5000,300 Block MONTREAL ST,VICTORIA,BC,48.42044872,-123.3799103,10,Saturday,Theft
COLLISION-NON-FATAL INJURY,GOVERNMENT ST & MICHIGAN ST,VICTORIA,BC,48.41718139,-123.3688945,9,Saturday,Traffic
THEFT FROM MV UNDER $5000,2600 Block CEDAR HILL RD,VICTORIA,BC,48.43721008,-123.3464565,9,Saturday,Theft from Vehicle
THEFT BICYCLE UNDER $5000,1000 Block YATES ST,VICTORIA,BC,48.42532002,-123.3560287,8,Saturday,Theft
THEFT FROM MV UNDER $5000,ESQUIMALT RD,VICTORIA,BC,48.4298586,-123.4019551,8,Saturday,Theft from Vehicle
MISCHIEF $5000 OR UNDER,LEWIS ST,VICTORIA,BC,48.41326961,-123.3773403,6,Saturday,Property Crime
BYLAW-NOISE,900 Block EMPRESS AVE,VICTORIA,BC,48.43469481,-123.3565841,3,Saturday,Other
THEFT-OTHER UNDER $5000,1300 Block WESTALL AVE,VICTORIA,BC,48.4427551,-123.3444002,2,Saturday,Theft
BYLAW-NOISE,1100 Block NORTH PARK ST,VICTORIA,BC,48.42946293,-123.3514791,2,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,200 Block GORGE RD E,VICTORIA,BC,48.4430648,-123.3809514,2,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,200 Block EDWARD ST,VICTORIA,BC,48.43377122,-123.3840302,8,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,BAY ST & SHELBOURNE ST,VICTORIA,BC,48.43393468,-123.33382,3,Sunday,Other
BREAK & ENTER-OTHER,800 Block RUPERT TER,VICTORIA,BC,48.42094701,-123.3622093,8,Thursday,Breaking & Entering
SUSPICIOUS PERS/VEH/OCCURRENCE,500 Block JOHNSON ST,VICTORIA,BC,48.42780909,-123.3697875,8,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,PANDORA AVE & GOVERNMENT ST,VICTORIA,BC,48.4285166,-123.3670495,9,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,FORT ST & VANCOUVER ST,VICTORIA,BC,48.42371917,-123.3569277,9,Thursday,Other
MISCHIEF $5000 OR UNDER,2600 Block FIFTH ST,VICTORIA,BC,48.43781063,-123.3574896,10,Thursday,Property Crime
FALSE ALARMS,400 Block GARBALLY RD,VICTORIA,BC,48.44028631,-123.3743571,2,Wednesday,Alarm
THEFT-OTHER UNDER $5000,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,6,Wednesday,Theft
WEAPONS-POSSESSION,BALMORAL RD & VANCOUVER ST,VICTORIA,BC,48.42883561,-123.3559671,7,Wednesday,Weapons Offense
TRAFFIC-INSURANCE VIOLATION,500 Block HERALD ST,VICTORIA,BC,48.43016755,-123.3692515,7,Wednesday,Traffic
BREAK & ENTER-OTHER,1800 Block OAK BAY AVE,VICTORIA,BC,48.42644451,-123.3279006,7,Wednesday,Breaking & Entering
TRAFFIC-INSURANCE VIOLATION,500 Block ELLICE ST,VICTORIA,BC,48.43882897,-123.3726835,19,Sunday,Traffic
IMPAIRED OP MOTOR VEH (ALCOH),QUADRA ST & PANDORA AVE,VICTORIA,BC,48.42741465,-123.359015,2,Sunday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,QUADRA ST & JOHNSON ST,VICTORIA,BC,48.42655911,-123.3590628,2,Sunday,Liquor
DRIVING COMPLAINTS,RICHMOND AVE & FORT ST,VICTORIA,BC,48.42954958,-123.330154,15,Thursday,Traffic
THEFT FROM MV UNDER $5000,700 Block CORMORANT ST,VICTORIA,BC,48.42861534,-123.3623213,8,Wednesday,Theft from Vehicle
MISCHIEF $5000 OR UNDER,800 Block HUMBOLDT ST,VICTORIA,BC,48.42025675,-123.363462,9,Wednesday,Property Crime
THEFT BICYCLE UNDER $5000,2600 Block PRIOR ST,VICTORIA,BC,48.43834671,-123.3547604,9,Wednesday,Theft
THEFT BICYCLE UNDER $5000,600 Block GORGE RD E,VICTORIA,BC,48.43917528,-123.3695601,9,Wednesday,Theft
THEFT FROM MV UNDER $5000,1000 Block DAVIE ST,VICTORIA,BC,48.42606928,-123.3258979,9,Wednesday,Theft from Vehicle
THEFT FROM MV UNDER $5000,1000 Block REDFERN ST,VICTORIA,BC,48.42457633,-123.324633,10,Wednesday,Theft from Vehicle
THEFT-SHOPLIFTING UNDER $5000,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,10,Wednesday,Theft
POSSESSION-CANNABIS 30G & UNDR,1200 Block DOUGLAS ST,VICTORIA,BC,48.42558112,-123.3650541,10,Wednesday,Drugs
THEFT-OTHER UNDER $5000,500 Block QUADRA ST,VICTORIA,BC,48.41855833,-123.3615331,11,Wednesday,Theft
THEFT-SHOPLIFTING UNDER $5000,3000 Block BLANSHARD ST,VICTORIA,BC,48.44507561,-123.3663972,11,Wednesday,Theft
DRIVING COMPLAINTS,1000 Block DAVIE ST,VICTORIA,BC,48.42455854,-123.3257134,13,Wednesday,Traffic
COLLISION-DAMAGE UNDER $1000,500 Block PANDORA AVE,VICTORIA,BC,48.42848914,-123.3692099,13,Wednesday,Traffic
THEFT-SHOPLIFTING UNDER $5000,1800 Block STORE ST,VICTORIA,BC,48.43026765,-123.3696507,15,Wednesday,Theft
TRAFFIC-INSURANCE VIOLATION,400 Block NIAGARA ST,VICTORIA,BC,48.41500978,-123.3780532,15,Wednesday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block YATES ST,VICTORIA,BC,48.42582494,-123.3607229,15,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,2500 Block GOVERNMENT ST,VICTORIA,BC,48.4365394,-123.3672775,15,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,900 Block PANDORA AVE,VICTORIA,BC,48.42736519,-123.358478,16,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,700 Block BROUGHTON ST,VICTORIA,BC,48.42365406,-123.3640821,17,Wednesday,Other
THEFT MOTORCYCLE UNDER $5000,800 Block CALEDONIA AVE,VICTORIA,BC,48.4308637,-123.3599019,17,Wednesday,Theft of Vehicle
THEFT-OTHER UNDER $5000,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,17,Wednesday,Theft
THEFT-OTHER UNDER $5000,900 Block PANDORA AVE,VICTORIA,BC,48.42736519,-123.358478,18,Wednesday,Theft
TRAFFIC-INSURANCE VIOLATION,1000 Block PENDERGAST ST,VICTORIA,BC,48.41573762,-123.3587226,18,Wednesday,Traffic
TRAFFIC-OTHER MOVING PROV,BLANSHARD ST & TOPAZ AVE,VICTORIA,BC,48.44193307,-123.3644127,20,Wednesday,Traffic
BYLAW-NOISE,1100 Block HILLSIDE AVE,VICTORIA,BC,48.43986291,-123.3558903,21,Wednesday,Other
BYLAW-NOISE,1200 Block MONTROSE AVE,VICTORIA,BC,48.4428902,-123.3507269,23,Wednesday,Other
COLLISION-NON-FATAL INJURY,1400 Block BROAD ST,VICTORIA,BC,48.42749915,-123.3660267,23,Wednesday,Traffic
TRAFFIC-INSURANCE VIOLATION,GORGE RD W & DONALD ST,VICTORIA,BC,48.44694687,-123.3961246,0,Thursday,Traffic
BYLAW-NOISE,600 Block FERNHILL RD,VICTORIA,BC,48.43084314,-123.408346,0,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,1200 Block WALNUT ST,VICTORIA,BC,48.43387464,-123.3486679,2,Thursday,Other
TRAFFIC-INSURANCE VIOLATION,500 Block CONSTANCE AVE,VICTORIA,BC,48.42855852,-123.4181862,2,Thursday,Traffic
VEHICLE,BAY ST & DOWLER PL,VICTORIA,BC,48.43545415,-123.3609951,3,Thursday,Vehicle Stop
VEHICLE,ADMIRALS RD & CRAIGFLOWER BRDG,VICTORIA,BC,48.45243571,-123.4225519,3,Thursday,Vehicle Stop
THEFT BICYCLE UNDER $5000,900 Block ROCKLAND AVE,VICTORIA,BC,48.42242667,-123.3586189,6,Thursday,Theft
TRAFFIC-INSURANCE VIOLATION,1000 Block PANDORA AVE,VICTORIA,BC,48.42728554,-123.355649,7,Thursday,Traffic
THEFT-OTHER UNDER $5000,900 Block ROCKLAND AVE,VICTORIA,BC,48.42242667,-123.3586189,7,Thursday,Theft
COLLISION-DAMAGE OVER $1000,1000 Block TILLICUM RD,VICTORIA,BC,48.44245369,-123.4019058,8,Thursday,Traffic
TRAFFIC-INSURANCE VIOLATION,700 Block VIEW ST,VICTORIA,BC,48.42524032,-123.3633191,8,Thursday,Traffic
FALSE ALARMS,1000 Block TILLICUM RD,VICTORIA,BC,48.44549246,-123.400794,9,Thursday,Alarm
SUSPICIOUS PERS/VEH/OCCURRENCE,BLANSHARD ST & HILLSIDE AVE,VICTORIA,BC,48.43889838,-123.3635022,21,Monday,Other
MISCHIEF $5000 OR UNDER,1300 Block HARRISON ST,VICTORIA,BC,48.42444573,-123.3437996,9,Thursday,Property Crime
THEFT FROM MV UNDER $5000,900 Block B OLD ESQUIMALT RD,VICTORIA,BC,48.43296659,-123.3993234,10,Thursday,Theft from Vehicle
THEFT BICYCLE UNDER $5000,800 Block BANK ST,VICTORIA,BC,48.42097267,-123.329424,10,Thursday,Theft
THEFT-OTHER UNDER $5000,2800 Block DOUGLAS ST,VICTORIA,BC,48.44064007,-123.3682639,11,Thursday,Theft
POSSESSION-METHAMPHETAMINE,700 Block VIEW ST,VICTORIA,BC,48.42524032,-123.3633191,11,Thursday,Drugs
OBSTRUCT PEACE/PUBLIC OFFICER,700 Block FORT ST,VICTORIA,BC,48.42459278,-123.3648393,11,Thursday,Other
MISCHIEF $5000 OR UNDER,700 Block JOHNSON ST,VICTORIA,BC,48.42701445,-123.3632202,12,Thursday,Property Crime
MISCHIEF $5000 OR UNDER,700 Block BROUGHTON ST,VICTORIA,BC,48.42365406,-123.3640821,13,Thursday,Property Crime
THEFT OF TRUCK UNDER $5000,2800 Block GRAHAM ST,VICTORIA,BC,48.44207589,-123.3571162,13,Thursday,Theft of Vehicle
MISCHIEF $5000 OR UNDER,300 Block FRASER ST,VICTORIA,BC,48.42227475,-123.4182593,13,Thursday,Property Crime
MISCHIEF $5000 OR UNDER,1500 Block FORT ST,VICTORIA,BC,48.42582447,-123.3387299,14,Thursday,Property Crime
SUSPICIOUS PERS/VEH/OCCURRENCE,COOK ST & OSCAR ST,VICTORIA,BC,48.41590114,-123.3558807,15,Thursday,Other
THEFT-OTHER UNDER $5000,1100 Block ESQUIMALT RD,VICTORIA,BC,48.42986239,-123.4088046,15,Thursday,Theft
TRAFFIC-INSURANCE VIOLATION,200 Block KINGSTON ST,VICTORIA,BC,48.42160081,-123.3783624,15,Thursday,Traffic
THEFT-SHOPLIFTING UNDER $5000,900 Block YATES ST,VICTORIA,BC,48.4256248,-123.3588451,16,Thursday,Theft
LIQUOR-INTOX IN PUBLIC PLACE,BLANSHARD ST & JOHNSON ST,VICTORIA,BC,48.4268548,-123.3618798,19,Thursday,Liquor
THEFT-SHOPLIFTING UNDER $5000,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,19,Thursday,Theft
THEFT FROM MV UNDER $5000,1300 Block PANDORA AVE,VICTORIA,BC,48.42680749,-123.3444765,19,Thursday,Theft from Vehicle
IMPAIRED OP MOTOR VEH (ALCOH),BAY ST & PLEASANT ST,VICTORIA,BC,48.43473723,-123.3764195,20,Thursday,Traffic
TRAFFIC-OTHER NON-MOVE PROV,BAY ST & WESTBOURNE PL,VICTORIA,BC,48.43563377,-123.364224,20,Thursday,Traffic
TRAFFIC-OTHER NON-MOVE PROV,BAY ST & PLEASANT ST,VICTORIA,BC,48.43473723,-123.3764195,20,Thursday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,1800 Block QUADRA ST,VICTORIA,BC,48.43004096,-123.3587334,21,Thursday,Other
LIQUOR-INTOX IN PUBLIC PLACE,800 Block ESQUIMALT RD,VICTORIA,BC,48.43187469,-123.3945256,22,Thursday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block CARRIE ST,VICTORIA,BC,48.43811945,-123.3958009,22,Thursday,Other
BREAK & ENTER-RESIDENCE,700 Block DOMINION RD,VICTORIA,BC,48.43701272,-123.3937026,1,Friday,Breaking & Entering
THEFT-OTHER UNDER $5000,800 Block YATES ST,VICTORIA,BC,48.42582494,-123.3607229,1,Friday,Theft
BYLAW-NOISE,100 Block MENZIES ST,VICTORIA,BC,48.41407843,-123.375407,1,Friday,Other
TRAFFICKING-HEROIN,1000 Block PEMBROKE ST,VICTORIA,BC,48.43205745,-123.3549773,2,Friday,Drugs
LIQUOR-INTOX IN PUBLIC PLACE,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,4,Friday,Liquor
THEFT FROM MV UNDER $5000,900 Block QUADRA ST,VICTORIA,BC,48.4218366,-123.3602709,7,Friday,Theft from Vehicle
THEFT FROM MV UNDER $5000,1000 Block MEARES ST,VICTORIA,BC,48.42317774,-123.3565532,9,Friday,Theft from Vehicle
THEFT FROM MV UNDER $5000,2500 Block FORBES ST,VICTORIA,BC,48.43451601,-123.3386455,10,Thursday,Theft from Vehicle
DRIVING COMPLAINTS,BLANSHARD ST & BAY ST,VICTORIA,BC,48.43557549,-123.3626078,14,Monday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,900 Block DOUGLAS ST,VICTORIA,BC,48.42335209,-123.365718,2,Saturday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,HERALD ST & DOUGLAS ST,VICTORIA,BC,48.43020336,-123.3645267,1,Saturday,Other
BYLAW-NOISE,700 Block PANDORA AVE,VICTORIA,BC,48.42787564,-123.3630372,0,Saturday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,1800 Block DOUGLAS ST,VICTORIA,BC,48.43065364,-123.3645016,0,Saturday,Other
BYLAW-NOISE,1600 Block MYRTLE AVE,VICTORIA,BC,48.44337049,-123.3367973,0,Saturday,Other
CYCLIST,FAIRFIELD RD & THURLOW RD,VICTORIA,BC,48.41195354,-123.3430172,22,Friday,Vehicle Stop
CYCLIST,GORGE RD E & JUTLAND RD,VICTORIA,BC,48.4419134,-123.3766962,21,Friday,Vehicle Stop
DRIVING COMPLAINTS,1600 Block EARLE ST,VICTORIA,BC,48.4139164,-123.3364321,16,Friday,Traffic
THEFT BICYCLE UNDER $5000,TYEE RD & HARBOUR RD,VICTORIA,BC,48.43223501,-123.3795271,8,Friday,Theft
THEFT-SHOPLIFTING UNDER $5000,1200 Block DOUGLAS ST,VICTORIA,BC,48.42558112,-123.3650541,21,Sunday,Theft
VEHICLE,900 Block FAIRFIELD RD,VICTORIA,BC,48.4194557,-123.3602688,7,Saturday,Vehicle Stop
TRAFFIC-INSURANCE VIOLATION,500 Block HERALD ST,VICTORIA,BC,48.43016755,-123.3692515,9,Friday,Traffic
THEFT-OTHER UNDER $5000,3100 Block CARROLL ST,VICTORIA,BC,48.44748518,-123.3813815,9,Friday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,1200 Block PARK TER,VICTORIA,BC,48.43112301,-123.4127836,9,Friday,Other
DRIVING COMPLAINTS,DOUGLAS ST & FINLAYSON ST,VICTORIA,BC,48.44504203,-123.3708534,9,Friday,Traffic
TRAFFIC-INSURANCE VIOLATION,1600 Block CAMOSUN ST,VICTORIA,BC,48.42797937,-123.3469745,10,Friday,Traffic
