incident_type_primary,city,state,hour_of_day,day_of_week,parent_incident_type,month_of_year,day_of_month,year
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,5,13,4,20,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,18,5,13,4,20,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,5,13,4,20,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,9,5,13,4,20,2012
215 ALCOH-24HR,VICTORIA,BC,21,5,13,4,20,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,12,6,13,4,21,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,1,6,13,4,21,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,15,6,13,10,22,2016
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,8,6,13,4,21,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,16,0,13,4,22,2012
215 ALCOH-24HR,VICTORIA,BC,3,0,13,4,22,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,1,13,4,23,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,11,1,13,4,23,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,1,13,4,23,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,22,1,13,4,23,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,1,13,4,23,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,17,2,13,4,24,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,22,3,13,4,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,18,3,13,4,25,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,21,3,13,4,25,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,8,4,13,4,26,2012
215 ALCOH-24HR,VICTORIA,BC,13,4,13,4,26,2012
215 DRUG,VICTORIA,BC,22,4,13,4,26,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,5,13,4,27,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,5,13,4,27,2012
215 ALCOH-24HR,VICTORIA,BC,2,5,13,4,27,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,0,5,13,4,27,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,6,5,13,4,27,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,13,5,13,4,27,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,15,5,13,4,27,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,15,5,13,4,27,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,18,5,13,4,27,2012
215 ALCOH-24HR,VICTORIA,BC,3,6,13,4,28,2012
215 ALCOH-24HR,VICTORIA,BC,1,6,13,4,28,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,6,13,4,28,2012
215 ALCOH-24HR,VICTORIA,BC,0,0,13,4,29,2012
215 ALCOH-24HR,VICTORIA,BC,2,0,13,4,29,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,3,0,13,4,29,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,12,0,13,4,29,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,1,13,4,30,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,0,13,4,29,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,17,0,13,4,29,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,10,2,13,5,1,2012
215 ALCOH-24HR,VICTORIA,BC,1,2,13,5,1,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,18,3,13,5,2,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,21,3,13,5,2,2012
215 ALCOH-24HR,VICTORIA,BC,6,4,13,5,3,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,5,13,5,4,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,5,13,5,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,15,5,13,5,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,5,13,5,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,4,5,13,5,4,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,6,13,5,5,2012
215 ALCOH-24HR,VICTORIA,BC,1,6,13,5,5,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,18,5,13,5,4,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,20,6,13,5,5,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,6,13,5,5,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,0,13,5,6,2012
215ALCOH IRP WARN-7DAY,VICTORIA,BC,3,0,13,5,6,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,0,13,5,6,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,23,0,13,5,6,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,3,1,13,5,7,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,23,3,13,5,2,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,19,1,13,5,7,2012
215 DRUG,VICTORIA,BC,11,1,13,5,7,2012
215 ALCOH-24HR,VICTORIA,BC,19,1,13,5,7,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,1,2,13,5,8,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,2,13,5,8,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,7,2,13,5,8,2012
215 DRUG,VICTORIA,BC,19,3,13,5,9,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,11,3,13,5,9,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,17,3,13,5,9,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,2,13,5,8,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,4,13,5,10,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,15,4,13,5,10,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,4,13,5,10,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,12,4,13,5,10,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,7,5,13,5,11,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,5,13,5,11,2012
215 ALCOH-24HR,VICTORIA,BC,23,4,13,5,10,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,5,13,5,11,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,5,13,5,11,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,19,5,13,5,11,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,5,13,5,11,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,5,13,5,11,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,5,13,5,11,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,13,6,13,5,12,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,23,6,13,5,12,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,7,0,13,5,13,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,1,13,5,14,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,12,1,13,5,14,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,2,13,5,15,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,13,3,13,5,16,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,11,3,13,5,16,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,15,3,13,5,16,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,18,2,13,5,15,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,23,4,13,5,17,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,2,4,13,5,17,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,5,13,5,18,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,15,5,13,5,18,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,0,13,5,13,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,2,6,13,5,19,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,3,6,13,5,19,2012
215 ALCOH-24HR,VICTORIA,BC,0,6,13,5,19,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,1,6,13,5,19,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,23,6,13,5,19,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,0,13,5,20,2012
215 ALCOH-24HR,VICTORIA,BC,2,0,13,5,20,2012
215 DRUG,VICTORIA,BC,23,0,13,5,20,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,4,0,13,5,20,2012
215ALCOH IRP WARN-30DAY,VICTORIA,BC,2,1,13,5,21,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,7,1,13,5,21,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,1,13,5,21,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,2,13,5,22,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,14,2,13,5,22,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,7,3,13,5,23,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,3,13,5,23,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,3,13,5,23,2012
215 DRUG,VICTORIA,BC,12,4,13,5,24,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,8,4,13,5,24,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,9,4,13,5,24,2012
215 DRUG,VICTORIA,BC,3,4,13,5,24,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,4,13,5,24,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,15,5,13,5,25,2012
215 ALCOH-24HR,VICTORIA,BC,3,5,13,5,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,6,13,5,26,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,6,13,5,26,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,12,6,13,5,26,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,21,6,13,5,26,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,0,13,5,27,2012
215 ALCOH-24HR,VICTORIA,BC,2,0,13,5,27,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,0,13,5,27,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,0,13,5,27,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,14,0,13,5,27,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,19,1,13,5,28,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,3,1,13,5,28,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,1,13,5,28,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,3,2,13,5,29,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,6,2,13,5,29,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,8,2,13,5,29,2012
215 ALCOH-24HR,VICTORIA,BC,0,2,13,5,29,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,9,2,13,5,29,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,12,2,13,5,29,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,20,6,13,5,26,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,2,13,5,29,2012
215 ALCOH-24HR,VICTORIA,BC,2,2,13,5,29,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,2,13,5,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,2,13,5,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,2,2,13,5,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,23,2,13,5,29,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,19,3,13,10,12,2016
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,2,3,13,5,30,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,15,3,13,5,30,2012
215 DRUG,VICTORIA,BC,16,4,13,5,31,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,5,13,6,1,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,13,4,13,10,20,2016
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,21,5,13,6,1,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,5,13,6,1,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,23,4,13,5,31,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,5,13,6,1,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,5,13,6,1,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,9,5,13,6,1,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,4,13,5,24,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,7,5,13,5,25,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,12,6,13,6,2,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,2,6,13,6,2,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,3,6,13,6,2,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,6,13,6,2,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,8,1,13,6,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,1,13,6,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,1,13,6,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,1,13,6,4,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,17,4,13,10,20,2016
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,2,13,6,5,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,2,2,13,6,5,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,19,2,13,6,5,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,2,13,6,5,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,3,13,6,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,3,3,13,6,6,2012
TRAFFIC-OTHER FEDERAL,VICTORIA,BC,20,2,13,6,5,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,4,13,6,7,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,4,13,6,7,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,4,13,6,7,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,4,13,6,7,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,15,4,13,6,7,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,4,13,6,7,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,5,13,6,8,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,5,13,6,8,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,5,13,6,8,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,5,13,6,8,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,5,13,6,8,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,6,13,6,9,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,3,1,13,10,10,2016
215ALCOH IRP WARN-3DAY,VICTORIA,BC,23,6,13,12,19,2015
TRAFFIC-OTHER FEDERAL,VICTORIA,BC,8,6,13,6,9,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,18,1,13,6,4,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,2,0,13,6,10,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,0,13,6,10,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,1,13,6,11,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,1,13,6,11,2012
215 ALCOH-24HR,VICTORIA,BC,15,1,13,6,11,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,23,2,13,6,12,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,3,13,6,13,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,22,3,13,6,13,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,3,13,6,13,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,3,13,6,13,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,18,4,13,6,14,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,4,13,6,14,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,2,5,13,6,15,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,15,5,13,6,15,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,5,13,6,15,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,22,5,13,6,15,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,19,5,13,6,15,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,22,5,13,6,15,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,14,6,13,6,16,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,8,6,13,6,16,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,9,6,13,6,16,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,12,1,13,9,12,2016
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,17,0,13,6,17,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,0,1,13,6,18,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,19,1,13,6,18,2012
215 ALCOH-24HR,VICTORIA,BC,4,1,13,6,18,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,2,13,6,19,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,14,2,13,6,19,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,2,13,6,19,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,3,13,6,20,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,3,13,6,20,2012
215 DRUG,VICTORIA,BC,12,3,13,6,20,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,15,3,13,6,20,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,3,13,6,20,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,19,3,13,6,20,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,1,13,10,10,2016
215 DRUG,VICTORIA,BC,2,3,13,6,20,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,4,13,6,21,2012
215 ALCOH-24HR,VICTORIA,BC,10,4,13,6,21,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,1,13,10,10,2016
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,19,5,13,6,22,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,4,13,6,21,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,19,5,13,6,22,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,20,6,13,6,23,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,11,6,13,6,23,2012
215 ALCOH-24HR,VICTORIA,BC,2,6,13,6,23,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,9,2,13,10,4,2016
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,0,13,6,24,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,14,3,13,10,12,2016
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,10,0,13,6,24,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,1,13,6,25,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,1,13,6,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,7,1,13,6,25,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,23,1,13,6,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,22,2,13,6,26,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,1,13,6,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,2,13,6,26,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,16,3,13,6,27,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,15,2,13,6,26,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,12,4,13,6,28,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,18,4,13,6,28,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,4,13,6,28,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,4,13,6,28,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,4,13,6,28,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,11,1,13,6,25,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,11,4,13,6,28,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,5,13,6,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,5,13,6,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,0,5,13,6,29,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,14,5,13,6,29,2012
TRAFFIC-OTHER MUNICIPAL,VICTORIA,BC,22,6,13,6,30,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,6,13,6,30,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,6,13,6,30,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,6,13,6,30,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,17,6,13,6,30,2012
215 ALCOH-24HR,VICTORIA,BC,2,6,13,6,30,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,17,0,13,9,11,2016
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,10,0,13,7,1,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,0,13,7,1,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,13,0,13,7,1,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,0,13,7,1,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,3,0,13,7,1,2012
215 ALCOH-24HR,VICTORIA,BC,0,1,13,7,2,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,0,1,13,7,2,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,1,1,13,7,2,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,10,1,13,7,2,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,2,1,13,7,2,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,14,1,13,7,2,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,2,13,7,3,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,13,2,13,7,3,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,2,13,7,3,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,15,2,13,7,3,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,23,6,13,6,30,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,16,3,13,7,4,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,8,3,13,7,4,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,9,3,13,7,4,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,16,3,13,9,7,2016
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,16,2,13,9,13,2016
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,10,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,20,5,13,7,6,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,20,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,2,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,2,5,13,7,6,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,17,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,20,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,21,5,13,7,6,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,23,5,13,7,6,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,3,6,13,7,7,2012
215 ALCOH-24HR,VICTORIA,BC,21,6,13,7,7,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,2,6,13,7,7,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,19,6,13,7,7,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,1,6,13,6,9,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,14,4,13,6,21,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,19,0,13,7,8,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,2,0,13,7,8,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,12,0,13,7,8,2012
IMPAIRED OP MOTOR VEH (ALCOH),VICTORIA,BC,15,1,13,7,9,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,18,1,13,7,9,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,14,2,13,7,10,2012
215ALCOH IRP WARN-3DAY,VICTORIA,BC,1,3,13,7,11,2012
215 ALCOH-24HR,VICTORIA,BC,16,3,13,7,11,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,2,3,13,7,11,2012
215 ALCOH-24HR,VICTORIA,BC,0,3,13,7,11,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,20,3,13,7,11,2012
TRAFFIC-OTHER NON-MOVE PROV,VICTORIA,BC,0,4,13,7,12,2012
TRAFFIC-OTHER MOVING PROV,VICTORIA,BC,23,4,13,7,12,2012
TRAFFIC-INSURANCE VIOLATION,VICTORIA,BC,10,4,13,7,12,2012
